"Group.1","iTRAQ8.113","iTRAQ8.114","iTRAQ8.115","iTRAQ8.116","iTRAQ8.117","iTRAQ8.118","iTRAQ8.119","iTRAQ8.121","perox.2015","perox.2017","mito.2015","mito.2017","nucleus.2015","nucleus.2017","golgi.2015","golgi.2017","ER.2015","ER.2017","PM.2015","PM.2017"
"2210404O07Rik",4967.71416977076,463.9043237433,445.01555638382,2615.97984637746,1742.15741767334,975.432989808658,1829.98446145124,945.43723479142,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2310047M10Rik",833315.886991099,217050.625912775,480765.452784852,2938136.16776673,299691.567779957,5815412.59762093,570766.274562933,3657518.2855637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2310050C09Rik",18732.3832199774,14999.2648202245,16207.1945928335,28516.660193385,17010.1669511434,43309.4326901199,20848.9793177491,20788.9800339769,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2310067B10Rik",8783.4462902447,10017.3461147972,4060.04490707145,10893.943844711,8815.05016355058,6213.43707220686,5837.10884303231,5021.9877643859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2510002D24Rik",3137.09347709514,909.00747609408,4018.14057075462,5344.18040109438,2623.18853079486,1757.82938957496,2968.8549374358,7152.68518924518,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2510003E04Rik",4815.06792322503,4621.98897896008,1749.72664244184,5635.26766266501,3839.58154940828,4070.76520774082,4375.7042074786,2962.26481341746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2610008E11Rik",22930.4466544395,10757.2079874073,16516.7133554858,62106.1561652325,15640.077613804,8324.05395915522,17598.4773925967,61209.3968718788,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2700049A03Rik",79709.5778186506,60926.8540505409,166695.36225316,126629.455479657,104670.512525561,82511.028226035,127373.906722404,117789.318415211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2810459M11Rik",7949430.81222991,292539.436585652,1665027.99594993,9986431.71761741,4450898.04865601,3007981.48311678,2973862.1013803,4839097.00640434,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3110009E18Rik",5811.93968209714,1474.48024388221,1142.62539796918,5568.82576140796,23749.7309853767,547.16339278584,2228.31749921926,2713.97199402465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4921530D09Rik",426679.467609362,245472.2345461,123729.560821477,278025.499394427,247836.189748096,60200.6620733456,256531.654273343,156369.471595241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4930415L06Rik",130177.186857831,19939.1460774829,27694.2518764718,127134.870507952,137712.441738325,64343.1320516969,80406.3239989329,78607.7468913074,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4930427A07Rik",1074.58404094135,510.569186547376,685.173591544207,1874.69075697564,604.02104442924,331.99698560236,481.955734392915,534.321665664221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4930432K21Rik",18031.2726229901,34906.7470005954,5888.65288185945,25845.6098026394,15547.0887568265,5358.24184464276,18808.3412704372,9960.22582000919,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4930503B20Rik",226697.143057546,277172.597304853,104273.710624064,392334.653570148,91254.0754187485,1224206.48409185,197182.707679424,402044.588192777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4930523C07Rik",138198.017222311,29456.1897960361,25861.5193889848,108493.087991415,70117.9242390888,78673.7162899592,60308.0548918462,74379.7901803583,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4931429L15Rik",3589.25038059828,1395.38126449956,6111.52103302476,3669.67462271136,7785.15885527904,1443.12959294268,1292.32508349444,2890.87916744988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4933402J07Rik",51924.6365588385,159931.360183221,19856.8681169258,57025.7372480239,44862.4556873755,7493.61446088296,104525.310602337,41765.0669158102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4933412E24Rik",0,1958.68442309435,0,149728.046112435,1149.81831922095,1392.54998528256,2680.81012562859,397036.421122708,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
